
1)
city_name         | state_name | airport |                   unique_carrier_name                   |   sum
 Bozeman, MT                  | Missoula, MT       | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    480
 Bozeman, MT                  | Missoula, MT       | Denver, CO                | SkyWest Airlines Inc.                                   |   2250
 Bozeman, MT                  | Missoula, MT       | Denver, CO                | United Air Lines Inc.                                   |  11788
 Branson, MO                  | St. Louis, MO      | Denver, CO                | Via Airlines d/b/a Charter Air Transport                |   1404
 Brownsville, TX              | Dallas, TX         | Denver, CO                | Swift Air, LLC                                          |    179
 Bullhead City, AZ            | Phoenix, AZ        | Denver, CO                | Sun Country Airlines d/b/a MN Airlines                  |    162
 Bullhead City, AZ            | Phoenix, AZ        | Fort Collins/Loveland, CO | Sun Country Airlines d/b/a MN Airlines                  |    162
 Bullhead City, AZ            | Phoenix, AZ        | Montrose/Delta, CO        | Sun Country Airlines d/b/a MN Airlines                  |    162
 Bullhead City, AZ            | Phoenix, AZ        | Pueblo, CO                | Sun Country Airlines d/b/a MN Airlines                  |    162
 Burbank, CA                  | Long Beach, CA     | Aspen, CO                 | SkyWest Airlines Inc.                                   |   4408
 Burbank, CA                  | Long Beach, CA     | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   1650
 Burbank, CA                  | Long Beach, CA     | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |   3702
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | American Airlines Inc.                                  |  11742
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | Frontier Airlines Inc.                                  |  24370
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | JetBlue Airways                                         |    150
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |  26330
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | Southwest Airlines Co.                                  | 154476
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | Spirit Air Lines                                        |  10620
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | United Air Lines Inc.                                   | 125662
 Burbank, CA                  | Long Beach, CA     | Denver, CO                | United Parcel Service                                   |    150
 Burbank, CA                  | Long Beach, CA     | Durango, CO               | SkyWest Airlines Inc.                                   |    200
 Burbank, CA                  | Long Beach, CA     | Eagle, CO                 | Avjet Corporation                                       |     16
 Burbank, CA                  | Long Beach, CA     | Grand Junction, CO        | Allegiant Air                                           |   1494
 Burbank, CA                  | Long Beach, CA     | Grand Junction, CO        | Compass Airlines                                        |    304
 Burbank, CA                  | Long Beach, CA     | Grand Junction, CO        | SkyWest Airlines Inc.                                   |    150
 Casper, WY                   | Casper, WY         | Denver, CO                | Delta Air Lines Inc.                                    |    110
 Casper, WY                   | Casper, WY         | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   3100
 Casper, WY                   | Casper, WY         | Denver, CO                | SkyWest Airlines Inc.                                   |     50
 Casper, WY                   | Casper, WY         | Denver, CO                | Trans States Airlines                                   |  10260
 Casper, WY                   | Casper, WY         | Hayden, CO                | Federal Express Corporation                             |   4320
 Cedar Rapids/Iowa City, IA   | Des Moines, IA     | Denver, CO                | Frontier Airlines Inc.                                  |   2160
 Cedar Rapids/Iowa City, IA   | Des Moines, IA     | Denver, CO                | SkyWest Airlines Inc.                                   |      0
 Cedar Rapids/Iowa City, IA   | Des Moines, IA     | Denver, CO                | Trans States Airlines                                   |   1001
 Cedar Rapids/Iowa City, IA   | Des Moines, IA     | Denver, CO                | United Air Lines Inc.                                   |  11392
 Chadron, NE                  | Scottsbluff, NE    | Denver, CO                | Boutique Air                                            |    392
 Charleston, SC               | Charleston, SC     | Denver, CO                | Southwest Airlines Co.                                  |  18286
 Charlotte, NC                | CONCORD, NC        | Denver, CO                | American Airlines Inc.                                  |  25740
 Charlotte, NC                | CONCORD, NC        | Denver, CO                | Frontier Airlines Inc.                                  |   6900
 Charlotte, NC                | CONCORD, NC        | Denver, CO                | SkyWest Airlines Inc.                                   |    532
 Charlotte, NC                | CONCORD, NC        | Denver, CO                | United Air Lines Inc.                                   |  16544
 Cheyenne, WY                 | Casper, WY         | Denver, CO                | Great Lakes Airlines                                    |    250
 Cheyenne, WY                 | Casper, WY         | Denver, CO                | Southwest Airlines Co.                                  |    922
 Chicago, IL                  | Chicago, IL        | Aspen, CO                 | SkyWest Airlines Inc.                                   |   2500
 Chicago, IL                  | Chicago, IL        | Colorado Springs, CO      | American Airlines Inc.                                  |    160
 Chicago, IL                  | Chicago, IL        | Colorado Springs, CO      | ExpressJet Airlines Inc.                                |    150
 Chicago, IL                  | Chicago, IL        | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   3600
 Chicago, IL                  | Chicago, IL        | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |   4350
 Chicago, IL                  | Chicago, IL        | Denver, CO                | American Airlines Inc.                                  |  29207
 Chicago, IL                  | Chicago, IL        | Denver, CO                | Frontier Airlines Inc.                                  |  10530
 Chicago, IL                  | Chicago, IL        | Denver, CO                | Kalitta Charters II                                     |      0
 Chicago, IL                  | Chicago, IL        | Denver, CO                | SkyWest Airlines Inc.                                   |     76
 Chicago, IL                  | Chicago, IL        | Denver, CO                | Southwest Airlines Co.                                  |  80370
 Chicago, IL                  | Chicago, IL        | Denver, CO                | Spirit Air Lines                                        |  10620
 Chicago, IL                  | Chicago, IL        | Denver, CO                | United Air Lines Inc.                                   |  90064
 Chicago, IL                  | Chicago, IL        | Grand Junction, CO        | SkyWest Airlines Inc.                                   |    152
 Chicago, IL                  | Chicago, IL        | Montrose/Delta, CO        | Envoy Air                                               |    193
 Chicago, IL                  | Chicago, IL        | Montrose/Delta, CO        | GoJet Airlines LLC d/b/a United Express                 |    420
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | Allegiant Air                                           |    600
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | Delta Air Lines Inc.                                    |   1150
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | Endeavor Air Inc.                                       |      0
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | Frontier Airlines Inc.                                  |  10816
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    192
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | SkyWest Airlines Inc.                                   |   2308
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | Southern Air Inc.                                       |      0
 Cincinnati, OH               | Cincinnati, OH     | Denver, CO                | United Air Lines Inc.                                   |   1800
 Cleveland, OH                | Columbus, OH       | Denver, CO                | Frontier Airlines Inc.                                  |   6900
 Cleveland, OH                | Columbus, OH       | Denver, CO                | Republic Airlines                                       |    228
 Cleveland, OH                | Columbus, OH       | Denver, CO                | SkyWest Airlines Inc.                                   |    420
 Cleveland, OH                | Columbus, OH       | Denver, CO                | Southwest Airlines Co.                                  |   7908
 Cleveland, OH                | Columbus, OH       | Denver, CO                | United Air Lines Inc.                                   |  14400
 Cody, WY                     | Casper, WY         | Denver, CO                | SkyWest Airlines Inc.                                   |     50
 Cody, WY                     | Casper, WY         | Denver, CO                | Trans States Airlines                                   |   5088
 Columbus, OH                 | Columbus, OH       | Denver, CO                | Frontier Airlines Inc.                                  |   4500
