AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE,RAMP_TO_RAMP,AIR_TIME,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
19977,10849,11292,524,107,67,1,1,36804,150,84,0,0,2017,2,6,2,F
19977,11292,10140,349,66,52,1,1,36640,150,144,0,0,2017,2,6,1,F
19977,11292,10620,455,94,66,1,1,48470,179,154,55,23,2017,2,6,1,F
19977,11292,10721,1754,215,194,1,1,35090,150,150,865,0,2017,2,6,4,F
19977,11292,10849,524,89,74,1,1,36804,150,144,181,0,2017,2,6,2,F
19977,11292,11193,1069,172,144,1,1,36867,150,89,0,0,2017,2,6,3,F
19977,11292,11433,1123,152,128,1,1,36158,128,86,0,1615,2017,2,6,3,F
19977,11292,11697,1703,215,203,1,1,32862,128,126,0,0,2017,2,6,4,F
19977,11292,12264,1452,199,179,1,1,100549,242,200,0,0,2017,2,6,3,F
19977,11292,12266,862,140,113,1,1,82777,214,126,0,75,2017,2,6,2,F
19977,11292,12889,628,108,89,1,1,35433,128,106,10,539,2017,2,6,2,F
19977,11292,13198,533,88,70,1,1,42241,166,137,703,1350,2017,2,6,2,F
19977,11292,13204,1546,208,184,1,1,35372,128,102,0,40,2017,2,6,4,F
19977,11292,13930,888,123,111,1,1,35936,128,121,0,0,2017,2,6,2,F
19977,11292,14100,1558,198,175,1,1,36733,150,134,55,1976,2017,2,6,4,F
19977,11292,14262,776,120,102,1,1,34143,166,99,0,0,2017,2,6,2,F
19977,11292,14524,1482,194,178,1,1,36072,150,128,0,0,2017,2,6,3,F
19977,11292,14570,804,128,113,1,1,42690,166,105,0,0,2017,2,6,2,F
19977,11292,14869,391,85,69,1,1,35554,128,126,77,1604,2017,2,6,1,F
19977,11292,15016,770,136,97,1,1,41831,166,162,0,65,2017,2,6,2,F
19977,11292,15016,770,115,95,1,1,35832,128,119,0,97,2017,2,6,2,F
19977,11292,15370,541,82,63,1,1,41556,166,124,11,0,2017,2,6,2,F
19977,12264,11292,1452,216,185,1,1,98334,242,173,306,361,2017,2,6,3,F
19977,12266,11292,862,141,119,1,1,48320,169,161,0,1335,2017,2,6,2,F
19977,12266,11292,862,137,110,1,1,82502,214,207,0,707,2017,2,6,2,F
19977,13198,11292,533,101,80,1,1,43141,166,107,0,954,2017,2,6,2,F
19977,13204,11292,1546,223,204,1,1,48843,169,166,85,404,2017,2,6,4,F
19977,14262,11292,776,123,105,1,1,41843,166,164,0,0,2017,2,6,2,F
19977,14524,11292,1482,230,200,1,1,46360,179,97,42,0,2017,2,6,2,F
19977,14570,11292,804,134,99,1,1,34772,150,138,0,0,2017,2,6,3,F
19977,14683,11292,794,124,107,1,1,38790,166,38,0,0,2017,2,6,2,F
19977,14689,11292,916,141,119,1,1,36768,150,128,117,395,2017,2,6,2,F
19977,14771,11292,967,149,122,1,1,35694,150,109,0,0,2017,2,6,2,F
19977,14771,11292,967,272,215,1,1,48920,169,129,508,430,2017,2,6,2,F
19977,14908,11292,846,132,114,1,2,290384,732,385,8694,0,2017,2,6,2,F
19977,15016,11292,770,134,109,1,1,37980,166,159,0,679,2017,2,6,2,F
19977,15016,11292,770,148,111,1,1,36271,166,157,0,649,2017,2,6,2,F
19977,15370,11292,541,99,86,1,1,28852,128,125,24,260,2017,2,6,2,F
19393,10994,11292,1449,292,248,1,1,28356,166,123,23,0,2017,2,6,2,F
19393,11042,11292,1201,176,164,1,1,32200,143,107,85,0,2017,2,6,3,F
19393,11292,10140,349,65,51,1,1,32200,143,139,1026,0,2017,2,6,3,F
19393,11292,10713,649,110,97,1,1,32200,143,128,0,0,2017,2,6,1,F
19393,11292,11433,1123,155,137,1,1,32200,143,121,944,0,2017,2,6,2,F
19393,11292,11986,1015,145,128,1,1,32200,143,140,110,0,2017,2,6,3,F
19393,11292,13342,896,119,104,1,1,32200,143,128,96,0,2017,2,6,3,F
19393,11292,14057,991,153,138,1,1,32200,143,136,0,0,2017,2,6,2,F
19393,11292,14100,1558,201,180,1,1,32200,143,133,0,0,2017,2,6,2,F
19393,11292,14570,804,149,118,1,1,32200,143,138,377,0,2017,2,6,4,F
19393,11292,14635,1607,218,200,1,1,32200,143,139,760,0,2017,2,6,2,F
19393,11292,15370,541,89,73,1,1,43400,175,163,0,0,2017,2,6,4,F
19393,11433,11292,1123,172,153,1,1,32200,143,141,26,0,2017,2,6,2,F
19393,11986,11292,1015,153,137,1,1,32200,143,123,160,0,2017,2,6,3,F
19393,13495,11292,1062,153,137,1,1,32200,143,84,0,0,2017,2,6,3,F
19393,14122,11292,1290,205,189,1,1,43400,175,175,345,0,2017,2,6,3,F
19393,14570,11292,804,121,102,1,1,32200,143,143,569,0,2017,2,6,3,F
19393,14635,11292,1607,228,212,1,1,32200,143,140,0,0,2017,2,6,2,F
19393,14893,11292,909,133,118,1,1,43400,175,171,0,0,2017,2,6,4,F
20452,10397,11292,1199,182,159,1,1,32200,143,140,6,0,2017,2,6,2,F
20452,11109,11292,73,43,17,1,1,21803,76,61,0,0,2017,2,6,3,F
20452,11292,11042,1201,164,139,1,1,21803,76,73,0,0,2017,2,6,1,F
20452,11292,11109,73,50,21,1,1,21803,76,70,0,0,2017,2,6,3,F
20452,11292,11423,589,98,74,1,1,21803,76,65,0,0,2017,2,6,1,F
20452,11292,12278,420,98,64,1,1,19092,70,60,0,0,2017,2,6,2,F
20452,11292,13871,472,89,64,1,1,19092,70,33,0,0,2017,2,6,1,F
20452,11292,14869,391,89,66,1,1,21803,76,65,0,0,2017,2,6,1,F
20452,12278,11292,420,90,68,1,1,21803,76,69,0,0,2017,2,6,1,F
20452,14730,11292,1024,177,153,1,1,19092,70,52,0,0,2017,2,6,1,F
20452,15370,11292,541,100,80,1,1,21803,76,67,0,0,2017,2,6,3,F
20436,11193,11292,1069,162,143,1,1,21803,76,52,0,0,2017,2,6,2,F
20436,11292,11066,1154,161,142,1,1,30000,150,134,0,0,2017,2,6,3,F
20436,11292,11433,1123,153,133,1,1,30000,150,143,0,0,2017,2,6,3,F
20436,11292,12266,862,183,109,1,1,30000,150,64,0,0,2017,2,6,3,F
20436,11292,12339,977,153,135,1,1,36000,180,178,0,0,2017,2,6,2,F
20436,11292,13204,1546,213,189,1,1,30000,150,113,0,0,2017,2,6,2,F
20436,11292,13204,1546,228,183,1,1,37200,180,180,0,0,2017,2,6,4,F
20436,11292,13486,679,119,95,1,1,30000,150,126,0,0,2017,2,6,4,F
20436,11292,13930,888,134,111,1,1,36000,180,136,0,0,2017,2,6,2,F
20436,11292,13930,888,131,113,1,1,37200,180,180,0,0,2017,2,6,2,F
20436,11292,14107,602,113,83,1,1,30000,150,110,0,0,2017,2,6,2,F
20436,11292,15016,770,115,93,1,1,37200,180,145,0,0,2017,2,6,2,F
20436,11292,15412,1162,139,123,1,1,36000,180,151,0,0,2017,2,6,2,F
20436,11433,11292,1123,193,154,1,1,36000,180,136,0,0,2017,2,6,3,F
20436,12264,11292,1452,220,194,1,1,30000,150,142,0,0,2017,2,6,3,F
20436,12266,11292,862,152,125,1,1,37200,180,132,0,0,2017,2,6,3,F
20436,12339,11292,977,163,145,1,1,36000,180,171,0,0,2017,2,6,2,F
20436,13204,11292,1546,214,192,1,1,30000,150,150,0,0,2017,2,6,2,F
20436,13486,11292,679,112,84,1,1,36000,180,169,0,0,2017,2,6,4,F
20436,13930,11292,888,179,134,1,1,36000,180,102,0,0,2017,2,6,2,F
20436,14107,11292,602,112,88,1,1,37200,180,180,0,0,2017,2,6,2,F
20436,15016,11292,770,152,121,1,1,36000,180,142,0,0,2017,2,6,2,F
20436,15304,11292,1506,210,188,1,1,36000,180,152,0,0,2017,2,6,2,F
20436,15412,11292,1162,172,159,1,1,37200,180,4,0,0,2017,2,6,4,F
20107,11292,11298,641,191,159,1,1,36000,180,140,0,0,2017,2,6,3,F
20107,11292,12339,977,136,115,1,1,107634,0,0,16753,0,2017,2,6,2,G
20107,11292,13198,533,216,181,1,1,136966,0,0,14986,0,2017,2,6,2,G
20107,11292,13495,1062,176,151,1,1,104189,0,0,50142,0,2017,2,6,2,G
20107,11292,14869,391,95,72,1,1,104402,0,0,23383,0,2017,2,6,3,G
20107,11292,15376,639,108,90,1,1,107840,0,0,47075,0,2017,2,6,1,G
20107,11921,14869,216,60,42,1,1,104608,0,0,42470,0,2017,2,6,2,G
20107,12339,11292,977,147,129,1,1,107931,0,0,42190,0,2017,2,6,1,G
20107,13198,11292,533,101,82,1,1,136966,0,0,13780,0,2017,2,6,2,G
20107,13244,11921,1061,221,198,1,1,193214,0,0,114987,0,2017,2,6,2,G
20107,13796,11292,957,133,115,1,1,107931,0,0,42190,0,2017,2,6,3,G
20416,11292,11433,1123,153,133,1,1,193732,0,0,30465,0,2017,2,6,2,G
20416,12266,11292,862,159,142,1,1,29000,145,144,0,0,2017,2,6,3,F
20378,13502,12891,593,128,99,1,1,29000,145,127,0,0,2017,2,6,2,F
20237,11292,11413,250,72,53,1,1,20210,79,66,0,0,2017,2,6,2,F
20237,11413,11292,250,62,45,1,1,11118,50,45,0,0,2017,2,6,1,F
20237,11986,11292,1015,157,141,1,1,11118,50,47,0,0,2017,2,6,1,F
20398,11298,13502,722,113,97,1,1,11118,50,43,0,0,2017,2,6,3,F
20398,13502,11298,722,164,120,1,1,12350,50,44,0,0,2017,2,6,2,F
20358,11292,14877,383,535,436,1,1,12350,50,48,1,0,2017,2,6,2,F
20358,14877,11292,383,617,526,1,6,27000,114,88,0,0,2017,2,6,1,F
20366,11109,15016,773,144,124,1,6,27000,114,94,0,0,2017,2,6,1,F
20366,11292,11109,73,50,23,1,1,10000,50,47,0,0,2017,2,6,2,F
20366,12266,11292,862,170,136,1,1,10000,50,47,0,0,2017,2,6,1,F
20366,12266,12012,886,149,127,1,1,10000,50,47,0,0,2017,2,6,2,F
19917,11292,10559,1026,164,138,1,1,10000,50,49,0,0,2017,2,6,2,F
19917,11292,12889,628,104,86,1,1,79755,0,0,18239,5737,2017,2,6,3,G
19917,11292,14730,1024,148,123,1,1,108025,0,0,32891,3787,2017,2,6,2,G
19917,14869,11292,391,87,60,1,1,79755,0,0,25727,0,2017,2,6,3,G
19917,14869,11292,391,94,57,1,1,79755,0,0,14991,218,2017,2,6,1,G
19805,11292,14057,991,343,309,1,1,108025,0,0,66035,0,2017,2,6,1,G
19805,12892,11292,862,329,274,2,2,79000,300,267,0,0,2017,2,6,2,F
19805,14100,11292,1558,536,422,2,2,98300,362,322,428,0,2017,2,6,2,F
19790,11292,13487,680,211,179,2,2,79000,300,267,0,0,2017,2,6,4,F
19790,11292,13487,680,204,174,2,2,68892,264,251,188,0,2017,2,6,2,F
19790,14869,11292,391,144,108,2,2,98180,360,356,70,0,2017,2,6,2,F
